Log,ac_flowrate,mixer_motor_temperature_M1,cp_temperature,cp_flowrate,mixer_speed_M2,mixer_temperature_Funnel_plate,mixer_temperature_Funnel_outlet,mixer_temperature_Funnel,mixer_torque_M2,mixer_motor_temperature_M2,mixer_torque_M1,cp_pressure,mixer_pressure,mixer_speed_M1,Time
1,0.0,14.8,0.0,0.0,0.0,24.5,25.1,24.6,0.038,16.6,0.113,0.062,0.197,0.0,09:51:32.039
2,0.0,14.5,0.0,0.0,0.0,26.0,27.1,24.6,0.113,16.3,0.113,0.0,0.171,0.0,09:51:33.139
3,0.0,14.8,0.0,0.0,0.0,24.5,25.1,26.0,0.151,16.8,0.038,0.016,0.198,0.0,09:51:34.256
4,0.0,14.5,0.0,0.0,0.0,24.5,25.1,24.6,0.151,16.8,0.076,0.001,0.142,0.0,09:51:35.359
5,0.0,15.0,0.0,0.0,0.0,24.5,25.1,24.6,0.113,16.6,0.189,0.011,0.208,0.0,09:51:36.463
6,0.0,14.8,0.0,0.0,0.0,24.5,25.1,24.5,0.189,16.1,0.113,0.0,0.261,0.0,09:51:37.568
7,0.0,13.6,0.0,0.0,0.0,26.0,25.1,24.6,0.076,16.8,0.038,0.084,0.204,0.0,09:51:38.678
8,0.0,14.8,0.0,0.0,0.0,24.5,25.1,24.6,0.189,16.3,0.076,0.052,0.173,0.0,09:51:39.788
9,0.0,14.5,0.0,0.0,0.0,24.5,25.1,24.6,0.076,16.6,0.076,0.002,0.326,0.0,09:51:40.898
10,0.0,14.3,0.0,0.0,0.0,24.5,27.1,24.6,0.189,16.1,0.113,0.017,0.184,0.0,09:51:42.006
11,0.0,15.4,0.0,0.0,0.0,24.5,25.1,26.0,0.151,17.0,0.076,0.005,0.293,0.0,09:51:43.110
